
County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Tulare County(7)",06107,Urban,104.8 ,98.8, 111.1,46 , 35 , 52,234,stable,0.0 ,-0.5, 1.0
"Siskiyou County(7)",06093,Rural,102.9 ,86.3, 122.1,47 , 16 , 54,35,stable,-0.1 ,-2.5, 2.0
"Kings County(7)",06031,Urban,102 ,91, 113.9,48 , 29 , 54,64,stable,-1.0 ,-2.2, 0.2
"Imperial County(7)",06025,Urban,101.5 ,92.1, 111.6,49 , 33 , 54,90,stable,0.0 ,-1.8, 1.8
"Colusa County(7)",06011,Rural,100.7 ,76.3, 130.5,50 , 5 , 56,12,stable,0.1 ,-3.5, 3.9
"Yuba County(7)",06115,Urban,99.9 ,86.1, 115.3,51 , 28 , 54,40,falling,-1.7 ,-2.9, -0.5
"Merced County(7)",06047,Urban,99 ,91.5, 107,52 , 39 , 54,131,stable,-0.4 ,-1.3, 0.5
"Madera County(7)",06039,Urban,98.3 ,89, 108.3,53 , 35 , 54,85,stable,-0.5 ,-1.4, 0.5
"Trinity County(7)",06105,Rural,71.3 ,49.3, 101.1,54 , 39 , 56,9,stable,-1.8 ,-5.0, 1.2
"Del Norte County(7)",06015,Rural,64.3 ,46.8, 86.3,55 , 52 , 56,11,falling,-9.3 ,-36.5, -3.7
"Modoc County(7)",06049,Rural,62.4 ,38.6, 99.3,56 , 41 , 56,5,falling,-6.0 ,-12.0, -3.8
"Alpine County(7)",06003,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Sierra County(7)",06091,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 02/17/2026 5:56 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"[trend note] Incidence data come from different sources. The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ [ https://statecancerprofiles.cancer.gov/historicaltrend/differences.html ] for selected counties."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) Summary/Historic Combined Summary Stage (2004+) [ https://seer.cancer.gov/tools/ssm/ ]."
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website."
[rural urban note] Rural-Urban Continuum Codes provided by the USDA [ https://www.ers.usda.gov/data-products/rural-urban-continuum-codes ].
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."
"1 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2023 submission."
7 Source: SEER November 2023 submission.
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2023 data."

Data for the United States does not include data from Indiana.
Data for the United States does not include Puerto Rico.
